2124|11074|16|17.4500|14|5.0000001E-2
2125|11075|2|19.0000|10|0.15000001
2126|11075|46|12.0000|30|0.15000001
2127|11075|76|18.0000|2|0.15000001
2128|11076|6|25.0000|20|0.25
2129|11076|14|23.2500|20|0.25
2130|11076|19|9.2000|10|0.25
2131|11077|2|19.0000|24|0.2
2132|11077|3|10.0000|4|0.0
2133|11077|4|22.0000|1|0.0
2134|11077|6|25.0000|1|0.02
2135|11077|7|30.0000|1|5.0000001E-2
2136|11077|8|40.0000|2|0.1
2137|11077|10|31.0000|1|0.0
2138|11077|12|38.0000|2|5.0000001E-2
2139|11077|13|6.0000|4|0.0
2140|11077|14|23.2500|1|2.9999999E-2
2141|11077|16|17.4500|2|2.9999999E-2
2142|11077|20|81.0000|1|3.9999999E-2
2143|11077|23|9.0000|2|0.0
2144|11077|32|32.0000|1|0.0
2145|11077|39|18.0000|2|5.0000001E-2
2146|11077|41|9.6500|3|0.0
2147|11077|46|12.0000|3|0.02
2148|11077|52|7.0000|2|0.0
2149|11077|55|24.0000|2|0.0
2150|11077|60|34.0000|2|5.9999999E-2
2151|11077|64|33.2500|2|2.9999999E-2
2152|11077|66|17.0000|1|0.0
2153|11077|73|15.0000|2|9.9999998E-3
2154|11077|75|7.7500|4|0.0
2155|11077|77|13.0000|2|0.0
